7000000	3000000	
10000000	4000000	
7500000	2000000	
5000000	1200000	
17000000	5000000	
7000000	2000000	
14000000	5000000	
18000000	5500000	
40000000	10000000	
10000000	4000000	
11000000	5000000	
15000000	6500000	
8000000	3000000	
5000000	1500000	
10000000	5500000	
9000000	1500000	
7000000	1000000	
8000000	2500000	
6500000	1000000	
20000000	7000000	
4000000	1500000	
8000000	2250000	
8000000	2500000	
20000000	5000000	
40000000	12000000	
5000000	1000000	
25000000	7000000	
10000000	2500000	
10000000	3000000	
24000000	10000000	
10000000	6000000	
10000000	5000000	
10000000	3500000	
10000000	5000000	
8000000	2500000	
10000000	5500000	
8500000	2500000	
16000000	6000000	
8000000	2000000	
5000000	1500000	
15000000	5000000	
7500000	2000000	
25000000	7000000	
7000000	3000000	
9000000	3000000	
12000000	4000000	
8000000	2000000	
7500000	2000000	
